#{"t_start": 1638379752.447189, "env_id": null}
r,l,t
46606.887639,329,241.846594
52629.789824,312,242.506816
42962.150635,329,243.235112
44578.173878,314,243.919142
47818.900746,313,244.610883
49060.751977,317,246.84177
50692.388455,325,247.712265
48577.408305,314,248.58709
47862.176322,320,249.625606
49628.152808,324,250.459571
47392.65677,325,251.385717
50730.391792,317,252.488521
49537.83468,321,256.736036
45896.74176,312,257.443286
52090.54549,315,258.051515
47646.510738,323,258.705247
53149.0229,331,259.378205
47544.945803,314,260.081784
50405.634219,321,262.480159
51957.040444,314,263.222647
48472.771649,322,263.941606
51493.937671,317,264.689783
55678.362443,323,265.37797
47127.960435,318,266.109724
53731.839793,336,269.151706
49627.701167,313,269.933322
49156.223607,322,270.605244
41345.106731,307,271.285547
53649.546801,317,272.050792
44781.15891,314,272.744532
46190.321199,322,273.372922
47554.276046,307,275.880564
53294.957521,319,276.613696
48488.513126,326,277.245809
51829.200121,330,277.973045
47852.434922,315,278.714514
42414.403647,309,279.465216
51044.637124,330,281.988802
53193.427295,309,282.633253
53531.918476,333,283.329294
54533.764532,318,284.007652
52375.217259,325,284.600931
54989.935422,328,285.195542
49145.447851,324,285.780111
49295.436162,326,287.527857
50013.221019,317,288.219769
50300.402295,327,288.89499
49020.184199,318,289.478446
51108.710354,325,290.072557
49609.460381,313,290.647671
53480.074229,332,292.331227
54999.208106,324,292.892471
51114.720125,316,293.422489
52513.60783,336,293.99037
51968.438007,318,294.531104
46969.210344,316,295.068842
54015.022789,324,296.743728
53174.672082,327,297.299411
48626.15147,330,297.866067
49716.566992,317,298.407322
49209.023972,324,298.964584
47337.581742,326,299.539526
48300.844348,323,300.109789
49579.559044,309,301.798078
54495.698473,332,302.342907
47544.340039,317,302.870968
51738.117496,331,303.583637
51586.981186,333,304.436981
47231.201191,311,305.202899
52448.8505,327,311.752455
53868.285874,327,312.492295
48695.524064,328,313.223043
54408.972707,328,313.970052
49893.604072,331,314.679001
50073.134919,318,315.364746
52369.220152,325,320.420962
55260.809722,331,321.317829
52261.818344,330,322.064525
55114.840201,334,322.775101
51870.559232,316,323.47587
58981.342041,330,324.252167
48784.176407,332,334.179578
46753.644835,331,335.06402
56223.859464,333,335.787395
57282.303963,327,336.481139
55351.493284,325,337.261663
56137.66305,337,338.041201
51021.344837,328,338.794456
53605.68791,330,349.357208
56219.178279,329,350.153593
55227.370436,336,351.023916
57088.992234,335,351.748719
57236.606292,335,352.425737
55763.727617,337,353.100978
54432.632032,335,358.435837
56059.282059,331,359.712406
56923.880637,331,360.595584
54091.07251,324,361.285985
51210.39458,332,362.223971
53009.079254,326,362.99102
51716.633032,323,368.05777
54895.752542,332,369.521129
52656.43763,324,370.73355
57112.54329,337,371.621852
