agent,trial,episode,reward,acceptance_rate,mean_cpu_utilization,mean_memory_utilization,mean_bandwidth_utilization,mean_operating_servers
PPO,141,0,87242.45654944718,0.58,0.05335231285310733,0.04445588905534602,0.0826524343971683,0.7552742616033755
PPO,142,0,138445.69559827092,0.37,0.06985294117647056,0.05507376975822105,0.0974468393065566,0.8783783783783784
PPO,143,0,45844.187718552515,0.78,0.04467492816091954,0.030944100577261453,0.07829447556899644,0.7250859106529209
PPO,144,0,83921.95964457096,0.31,0.07221064814814807,0.03564830984343483,0.08004247525386926,0.7876106194690266
PPO,145,0,166288.25789966356,0.47,0.054919796557120475,0.04788193056260157,0.09050094309434192,0.8364485981308412
PPO,146,0,158407.63333763817,0.26,0.0675823252688172,0.04825881329424556,0.1022075920727465,0.8502673796791443
PPO,147,0,135698.5280991668,0.46,0.05674715909090907,0.04808458115692135,0.0858168559170559,0.8235294117647058
PPO,148,0,144669.38681201462,0.37,0.0659594566993464,0.039258853518116595,0.08142928949874459,0.7902439024390244
PPO,149,0,101556.91528370859,0.36,0.06305133258258251,0.0550374195088356,0.0913056644423195,0.8565022421524664
PPO,150,0,109354.55299308301,0.61,0.03757440476190477,0.04262861746508236,0.1532630357960451,1.3
PPO,151,0,97508.35932384427,0.45,0.06428062678062682,0.03791205838770947,0.07658518697470142,0.8085106382978723
PPO,152,0,111190.34887942132,0.39,0.06361914600550964,0.06032143355264007,0.08536211911589256,0.8353909465020576
PPO,153,0,61389.73173439881,0.74,0.04161260092272199,0.03527183584983454,0.0817573118827603,0.7482758620689656
PPO,154,0,136749.75618000835,0.44,0.06371951219512187,0.06091177037757267,0.09200907010863361,0.8640776699029126
PPO,155,0,130644.57515893727,0.3,0.07451406786941576,0.045559461488017136,0.09491215389924708,0.8461538461538461
PPO,156,0,147335.96514384527,0.35,0.07130074786324785,0.048583466627659805,0.09497079893839022,1.0
PPO,157,0,77698.86760444871,0.48,0.06532276459854017,0.04287121265506046,0.07683095308571739,0.7890909090909091
PPO,158,0,37655.632582747385,0.44,0.06043256997455472,0.03375059655728245,0.0741944350459357,0.7490494296577946
PPO,159,0,128407.15884426924,0.33,0.0699598524305555,0.06270024368266229,0.0965577472476681,0.8652849740932642
PPO,160,0,132525.16172539178,0.5,0.05820254110612852,0.047144122098790625,0.09453341327670738,0.8526785714285714
PPO,161,0,80292.17698155322,0.46,0.06104673845193511,0.05446877732813064,0.08549212860683365,0.8470149253731343
PPO,162,0,160105.07195829786,0.32,0.06653963414634143,0.03804493405733536,0.08887594772721998,0.8252427184466019
PPO,163,0,111101.2512136382,0.36,0.07273748088685009,0.05887830133156755,0.08970023087324147,0.8721461187214612
PPO,164,0,73909.38444863138,0.42,0.06743474383916988,0.050784942592885476,0.08747382243368332,0.8255813953488372
PPO,165,0,107929.92329250732,0.33,0.0754434818481848,0.07378715290043478,0.08366051165261856,0.8768472906403941
